company_id,cluster_id
HDFCLIFE,4
HDFCLIFE,2
HEROMOTOCO,0
HEROMOTOCO,2
HEROMOTOCO,2
HEROMOTOCO,0
HEROMOTOCO,1
HEROMOTOCO,2
HINDALCO,4
HINDALCO,1
HINDALCO,2
HINDALCO,0
HINDALCO,0
HINDALCO,2
HINDUNILVR,1
HINDUNILVR,1
HINDUNILVR,4
HINDUNILVR,1
HINDUNILVR,1
HINDUNILVR,4
ICICIBANK,0
ICICIBANK,1
ICICIBANK,4
ICICIBANK,0
ICICIBANK,2
ICICIBANK,1
ICICIGI,0
ICICIGI,0
ICICIGI,0
ICICIGI,0
ICICIGI,4
ICICIGI,2
ICICIPRULI,2
ICICIPRULI,1
ICICIPRULI,1
ICICIPRULI,0
ICICIPRULI,0
ICICIPRULI,4
INDIGO,2
INDIGO,4
INDIGO,2
INDIGO,4
INDIGO,2
INDIGO,2
INDUSINDBK,2
INDUSINDBK,2
INDUSINDBK,0
INDUSINDBK,2
INDUSINDBK,0
INDUSINDBK,1
INFY,4
INFY,4
INFY,1
INFY,4
INFY,0
INFY,4
IOC,4
IOC,2
IOC,4
IOC,2
IOC,0
IOC,1
IRCTC,0
IRCTC,4
IRCTC,2
IRCTC,1
IRCTC,4
IRCTC,2
IRFC,1
IRFC,4
IRFC,2
IRFC,1
IRFC,2
IRFC,1
ITC,0
ITC,2
ITC,2
ITC,4
ITC,2
ITC,0
JINDALSTEL,4
JINDALSTEL,2
JINDALSTEL,4
JINDALSTEL,2
JINDALSTEL,0
JINDALSTEL,0
JIOFIN,4
JIOFIN,1
JIOFIN,0
JIOFIN,2
JIOFIN,0
JIOFIN,4
JSWENERGY,4
JSWENERGY,4
JSWENERGY,2
JSWENERGY,1
JSWENERGY,1
JSWENERGY,4
JSWSTEEL,4
JSWSTEEL,1
JSWSTEEL,2
JSWSTEEL,4
JSWSTEEL,4
JSWSTEEL,2
KOTAKBANK,4
KOTAKBANK,1
KOTAKBANK,1
KOTAKBANK,2
KOTAKBANK,2
KOTAKBANK,1
LICI,2
LICI,1
LICI,3
LICI,1
LICI,0
LICI,4
LODHA,0
LODHA,0
LODHA,4
LODHA,1
LODHA,4
LODHA,2
LT,2
LT,1
LT,4
LT,4
LT,4
LT,1
LTIM,2
LTIM,2
LTIM,4
LTIM,4
LTIM,0
LTIM,0
M&M,0
M&M,0
M&M,4
M&M,0
M&M,4
M&M,1
MARUTI,2
MARUTI,1
MARUTI,0
MARUTI,1
MARUTI,4
MARUTI,1
MOTHERSON,4
MOTHERSON,4
MOTHERSON,4
MOTHERSON,2
MOTHERSON,4
MOTHERSON,1
NAUKRI,4
NAUKRI,1
NAUKRI,4
NAUKRI,4
NAUKRI,2
NAUKRI,4
NESTLEIND,2
NESTLEIND,2
NESTLEIND,4
NESTLEIND,0
NESTLEIND,1
NESTLEIND,0
NHPC,2
NHPC,0
NHPC,4
NHPC,2
NHPC,0
NHPC,0
NTPC,1
NTPC,1
NTPC,0
NTPC,2
NTPC,0
NTPC,1
ONGC,2
ONGC,0
ONGC,1
ONGC,4
ONGC,2
ONGC,4
PFC,1
PFC,1
PFC,2
PFC,1
PFC,1
PFC,1
PIDILITIND,4
PIDILITIND,2
PIDILITIND,2
PIDILITIND,1
PIDILITIND,1
PIDILITIND,4
PNB,2
PNB,4
PNB,4
PNB,4
PNB,1
PNB,4
POWERGRID,0
POWERGRID,1
POWERGRID,4
POWERGRID,2
POWERGRID,4
POWERGRID,2
RECLTD,2
RECLTD,1
RECLTD,1
RECLTD,2
RECLTD,2
RECLTD,1
RELIANCE,4
RELIANCE,2
RELIANCE,4
RELIANCE,4
RELIANCE,2
RELIANCE,2
SBILIFE,1
SBILIFE,1
SBILIFE,0
SBILIFE,2
SBILIFE,0
SBILIFE,2
SBIN,1
SBIN,1
SBIN,4
SBIN,2
SBIN,2
SBIN,2
SHREECEM,4
SHREECEM,0
SHREECEM,1
SHREECEM,1
SHREECEM,4
SHREECEM,1
SHRIRAMFIN,0
SHRIRAMFIN,4
SHRIRAMFIN,4
SHRIRAMFIN,4
SHRIRAMFIN,2
SHRIRAMFIN,2
SIEMENS,1
SIEMENS,4
SIEMENS,1
SIEMENS,2
SIEMENS,2
SIEMENS,4
SUNPHARMA,2
SUNPHARMA,1
SUNPHARMA,1
SUNPHARMA,4
SUNPHARMA,1
SUNPHARMA,1
TATACONSUM,1
TATACONSUM,4
TATACONSUM,2
TATACONSUM,1
TATACONSUM,2
TATACONSUM,2
TATAMOTORS,4
TATAMOTORS,1
TATAMOTORS,4
TATAMOTORS,0
TATAMOTORS,1
TATAMOTORS,0
TATAPOWER,1
TATAPOWER,1
TATAPOWER,2
TATAPOWER,0
TATAPOWER,4
TATAPOWER,1
TATASTEEL,0
TATASTEEL,0
TATASTEEL,0
TATASTEEL,4
TATASTEEL,1
TATASTEEL,2
TCS,1
TCS,1
TCS,0
TCS,0
TCS,0
TCS,0
TCS,4
TCS,4
TCS,4
TCS,4
TCS,2
TCS,2
TECHM,1
TECHM,2
TECHM,2
TECHM,4
TECHM,1
TECHM,0
TITAN,0
TITAN,1
TITAN,1
TITAN,2
TITAN,1
TITAN,4
TORNTPHARM,2
TORNTPHARM,2
TORNTPHARM,4
TORNTPHARM,2
TORNTPHARM,4
TORNTPHARM,2
TRENT,2
TRENT,0
TRENT,0
TRENT,0
TRENT,2
TRENT,4
TVSMOTOR,1
TVSMOTOR,1
TVSMOTOR,0
TVSMOTOR,4
TVSMOTOR,0
TVSMOTOR,0
